Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
MPW001,MPW,"Dorinthea, Quicksilver Prodigy",,,,,,,,,,,,,,,,,,,,,No,,B,,,,,,MPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW001.webp,,,,,,,,,MPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OMN001-MV.webp,,,,,,,,,MPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OMN001-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW002,MPW,"Dawnblade, Resplendent",,,,,,,,,,,,,,,,,,,,,No,,B,,,,,,MPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW002.webp,,,,,,,,,MPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OMN002-MV.webp,,,,,,,,,MPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OMN002-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW003,MPW,"Hala, Bladesaint of the Vow",,,,,,,,,,,,,,,,,,,,,No,,B,,,Federico Musetti,,,MPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW003.webp,,,V,C,FA,Federico Musetti,,,MPW003,/MPW003-MV.webp,,,V,C,FA,Federico Musetti,,,MPW003,/MPW003-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW004,MPW,Hala,,,,,,20,4,,"Warrior, Hero, Young",,,Action,"Sharpen, Go again",,,,"**Action** - {r}{r}{r}, {t}: **Sharpen** target sword you control. **Go again**",Warrior Hero - Young,,,,,B,,,Federico Musetti,,,MPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW004.webp,,,V,C,FA,Federico Musetti,,,MPW004,/MPW004-MV.webp,,,V,C,FA,Federico Musetti,,,MPW004,/MPW004-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW005,MPW,Zenith Blade,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,MPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW005.webp,,,V,C,FA,,,,MPW005,/MPW005-MV.webp,,,V,C,FA,,,,MPW005,/MPW005-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW006,MPW,Olympia,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,MPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW006.webp,,,,,,,,,MPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW006.webp,,,,,,,,,MPW006,,,,,,,,,,,,,,,,,,,,,,,,,
MPW007,MPW,Golden Grail,,,,3,,,,,"Warrior, Weapon, Sword, 2H",,,Once per Turn Action,Attack,,,Wager,"**Once per Turn Action** - {r}{r} or destroy a Gold you control: **Attack**. If this attack has wagered, it gets +1{p}.",Warrior Weapon - Sword (2H),,,,,B,,,Tanapon Wachirakul,,,MPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW007.webp,,,V,C,FA,Tanapon Wachirakul,,,MPW007,/MPW007-MV.webp,,,V,C,FA,Tanapon Wachirakul,,,MPW007,/MPW007-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW008,MPW,Durendal,,,,3,,,,,"Warrior, Weapon, Sword, 2H",,,Once per Turn Action,Attack,,,,"**Once per Turn Action** - {r}: **Attack**

If this has a +1{p} counter, reaction cards get -1{d} while defending it.",Warrior Weapon - Sword (2H),,,No,,M,,,Nathaniel Himawan,,,MPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW008.webp,,,V,C,FA,Nathaniel Himawan,,,MPW008,/MPW008-MV.webp,,,V,C,FA,Nathaniel Himawan,,,MPW008,/MPW008-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,,,,
MPW009,MPW,Paragon Plate,,,,,,,,,,,,,,,,,,,,,No,,L,C,,Amtepra,,,MPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW009-CF.webp,,,,,,Amtepra,,,MPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW009.webp,,,,,,Amtepra,,,MPW009,,,,,,,,,,,,,,,,,,,,,,,,,
MPW010,MPW,Grains of Bloodspill,,,,,,,,,,,,,,,,,,,,,,,L,R,AA,Isuardi Therianto,,,MPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW010-RF.webp,,,,,,Isuardi Therianto,,,MPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW010.webp,,,,,,Isuardi Therianto,,,MPW010,,,,,,,,,,,,,,,,,,,,,,,,,
MPW011,MPW,Braveforge Bracers,,,,,,,,,,,,,,,,,,,,,,,L,R,AA,Asur Misoa,,,MPW011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW011-RF.webp,,,,,,Asur Misoa,,,MPW011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW011.webp,,,,,,Asur Misoa,,,MPW011,,,,,,,,,,,,,,,,,,,,,,,,,
MPW012,MPW,Valiant Dynamo,,,,,,,,,,,,,,,,,"At the beginning of your end phase, if you've attacked 2 or more times with weapons this turn, you may remove a -1{d} counter from this.

**Battleworn**",,,,,,L,R,AA,Nathaniel Himawan,,,MPW012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW012-RF.webp,,,,,,Nathaniel Himawan,,,MPW012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW012.webp,,,,,,Nathaniel Himawan,,,MPW012,,,,,,,,,,,,,,,,,,,,,,,,,
MPW013,MPW,Blunt Retort,,,,,1,,,,"Warrior, Equipment, Head",,Blade Break,,,,,,"When this defends a weapon attack, you may remove a +1{p} counter from the weapon.

**Blade Break**",Warrior Equipment - Head,,,,,C,,,Brian M. Narendra,,,MPW013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW013.webp,,,C,C,,Brian M. Narendra,,,MPW013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW013-CF.webp,,,,,,Brian M. Narendra,,,MPW013,,,,,,,,,,,,,,,,,,,,,,,,,
