Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Identifier,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Identifier 2,Image URL 2,Rarity 3,Foiling 3,Art Variation 3,Artist 3,Flavor Text 3,Image URL 3
ASB001,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB001,,,,,,,,,,,,,,
ASB002,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB002,,,,,,,,,,,,,,
ASB003,ASB,Helm of Halo's Grace,,,,2,,,"Light, Warrior, Equipment, Head","Charge, Blade Break",,,,,,"When this defends, you may **charge** your hero's soul. If a yellow card is **charged** this way, draw a card.

**Blade Break**",Light Warrior Equipment - Head,,,,No,M,,,Eilene Cherie,,ASB003,/ASB003.png,,,,,,,,,,,,,
ASB004,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB004,,,,,,,,,,,,,,
ASB005,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB005,,,,,,,,,,,,,,
ASB006,ASB,Warpath of Winged Grace,,,,2,,,"Light, Warrior, Equipment, Legs","Charge, Blade Break",,,,,,"When this defends, you may **charge** your hero's soul. If a yellow card is **charged** this way, create a Quicken token.

**Blade Break**",Light Warrior Equipment - Legs,,,,No,M,,,Eilene Cherie,,ASB006,/ASB006.png,,,,,,,,,,,,,
ASB007,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB007,,,,,,,,,,,,,,
ASB008,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB008,,,,,,,,,,,,,,
ASB009,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB009,,,,,,,,,,,,,,
ASB010,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB010,,,,,,,,,,,,,,
ASB011,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB011,,,,,,,,,,,,,,
ASB012,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB012,,,,,,,,,,,,,,
ASB013,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB013,,,,,,,,,,,,,,
ASB014,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB014,,,,,,,,,,,,,,
ASB015,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB015,,,,,,,,,,,,,,
ASB016,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB016,,,,,,,,,,,,,,
ASB017,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB017,,,,,,,,,,,,,,
ASB018,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB018,,,,,,,,,,,,,,
ASB019,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB019,,,,,,,,,,,,,,
ASB020,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB020,,,,,,,,,,,,,,
ASB021,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB021,,,,,,,,,,,,,,
ASB022,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB022,,,,,,,,,,,,,,
ASB023,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB023,,,,,,,,,,,,,,
ASB024,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB024,,,,,,,,,,,,,,
ASB025,ASB,Saving Grace,2,0,,3,,,"Light, Warrior, Defense Reaction",Charge,,,,,,"As an additional cost to play this, you may **charge** your hero's soul.

If you've **charged** this turn, target attack gets -2{p}.",Light Warrior Defense Reaction,,,,No,M,,,Andrew Chou,,ASB025,/ASB025.png,,,,,,,,,,,,,
ASB026,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB026,,,,,,,,,,,,,,
ASB027,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB027,,,,,,,,,,,,,,
ASB028,ASB,,,,,,,,,,,,,,,,,,,,,,,,,,ASB028,,,,,,,,,,,,,,
