Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
SEA000,SEA,Riches of Tropal-Dhani,2,,,,,,,"Generic, Resource, Gem",Legendary,,,,,,"**Legendary**

When this is pitched, create a Gold token.",Generic Resource - Gem,,,,No,,F,C,,Tanapon Wachirakul,,,SEA000,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA001, HER137","SEA, HER","Puffin, Hightail",,,,,40,4,,"Pirate, Mechanologist, Hero",,Action,,,,,"**Action** - {t}, destroy a Gold you control: Create a Golden Cog token.

The second time you crank each turn, draw a card.",Pirate Mechanologist Hero,,No,,No,,B,S,,Arif Wijaya,,,SEA001,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA001.png,,,V,C,FA,Arif Wijaya,,,SEA001,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA001_V2.png,,,V,C,FA,Arif Wijaya,,,SEA001,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA001_V2_BACK.png,,,P,R,,,Arif Wijaya,,HER137,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/HER137-RF.webp,,,,,,,,,,,
SEA002,SEA,Puffin,,,,,20,4,,"Pirate, Mechanologist, Hero, Young",,Action,,,,,"**Action** - {t}, destroy a Gold you control: Create a Golden Cog token.

The second time you crank each turn, draw a card.",Pirate Mechanologist Hero - Young,,,No,,No,B,S,,Arif Wijaya,,,SEA002,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA002.png,,,V,C,FA,Arif Wijaya,,,SEA002,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA002_V2.png,,,V,C,FA,Arif Wijaya,,,SEA002,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA002_V2_BACK.png,,,,,,,,,,,,,,,,,,,,,
SEA003,SEA,Polly Cranka,,,,,1,,,"Puffin, Companion, Off-Hand, Ally","Crank, Perched",,,,,,"**Action** - {t}, banish this: Return this to the arena under its owner's control, unequipped, tapped, and with a steam counter.

**Crank**

**Perched**",Puffin Companion - Off-Hand Ally,,,,No,,L,R,,Rio Sabda,,,SEA003,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA003.png,,,V,C,FA,Rio Sabda,,,SEA003,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA003_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA004, FAB343",SEA,Golden Skywarden,2,4,7,2,,,,"Pirate, Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, this gets +1{d}. If a Golden Cog is destroyed this way, create a Gold token and repeat this process.",Pirate Mechanologist Action - Attack,,,,No,,M,S,,Carlos Cruchaga,,,SEA004,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA004.png,,,M,R,,Carlos Cruchaga,,,SEA004,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA004.webp,,,P,R,EA,Carlos Cruchaga,,,FAB343,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB343-RF.webp,,,,,,,,,,,,,,,,,,,,,
SEA005,SEA,Jolly Bludger,2,2,5,3,,,,"Pirate, Mechanologist, Action, Attack","Overpower, Steal",,,,,,"When this attacks, you may {t} a cog you control. If you do, this gets **overpower**.

When this deals damage to a hero, **steal** that many items they control.

**Thrice per Turn Instant** - {t} a cog you control: This gets +1{p}.",Pirate Mechanologist Action - Attack,,,,No,,M,S,,Kimberly Pantoni,,,SEA005,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA006,SEA,Cogwerx Blunderbuss,,,2,,,,,"Mechanologist, Weapon, Gun, 2H",,,,,,,"**Action** - {r}{r}, {t}: Attack

**Instant** - {t} a cog you control: This card's next attack this turn gets go again.",Mechanologist Weapon - Gun (2H),,,,,,B,S,,Mariusz Gandzel,,,SEA006,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA007,SEA,Spitfire,,,2,,,,,"Mechanologist, Weapon, Gun, 2H",,,,,,,"**Action** - {t}, {t} a cog you control: Attack

When this attacks, you may {t} a cog you control. If you do, the attack gets +1{p}.",Mechanologist Weapon - Gun (2H),,,,,,B,S,,Marcellino Tan,,,SEA007,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA007.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA008,SEA,Cogwerx Tinker Rings,,,,2,,,,"Mechanologist, Equipment, Arms",Blade Break,,,,,,"When this defends, create a Golden Cog token.

**Blade Break**",Mechanologist Equipment - Arms,,,,No,,L,R,,Ramza Ardyputra,,,SEA008,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA008.png,,,L,C,EA,Ramza Ardyputra,,,SEA008,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA008_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA009,SEA,Rust Belt,,,,1,,,,"Mechanologist, Equipment, Chest",Battleworn,,,,,,"**Instant** - {t} a cog you control, destroy this: Gain {r}.

**Battleworn**",Mechanologist Equipment - Chest,,,,,,C,S,,Mariusz Gandzel,,,SEA009,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
